artist_name,avg_pop,avg_comment
DJ阿智,100,2790.88
LBI利比,100,41223.64286
TINY7,70.2,1796.88
Wiz_H张子豪,82.8,12845.58
h3R3,98.5,34457.96
亞細亞曠世奇才,88.80952381,721.2619048
余佳运,98.6,17289.04
加木,99,3384.18
华晨宇,100,126862.7
周传雄,97.7,10631.8
周深,100,46308.28
张学友,100,21622.20588
张杰,100,23935.66
徐良,96.1,11911.28
摩登兄弟刘宇宁,99.16666667,52608.26667
方大同,100,34163.56
李荣浩,100,87130.19231
林俊杰,100,66632.44
梁博,100,19384.21053
毛不易,100,89420.46
汪苏泷,100,47275.14
法老,100,19438.64
王力宏,100,16843.62
王赫野,100,7285.3
罗言,96.9,14141.56
胡彦斌,98.7,11045.12
艾志恒Asen,100,8407.88
蔡徐坤,97,28744.62
薛之谦,100,152694.62
许嵩,100,220325.3333
贝乐虎,100,616.88
赵雷,100,53368.92
郑润泽,100,81482.52
郭顶,100,1317610.333
队长,97.1,47887.88
陈奕迅,100,88074.4
陈楚生,100,7795.16
陶喆,100,19348.64
颜人中,100,44731.94
马思唯,100,11369.06
黄子弘凡,98.7,30598.58
