artist_name,avg_pop,avg_comment,pro_com,process_pop,process_com
DJ阿智,100,2790.88,68.91482327,78.24037629,2.79088
LBI利比,100,41223.64286,92.30292734,94.61204914,41.22364286
TINY7,70.2,1796.88,65.0903815,66.62326705,1.79688
Wiz_H张子豪,82.8,12845.58,82.17507436,82.36255205,12.84558
h3R3,98.5,34457.96,90.74579125,93.07205388,34.45796
亞細亞曠世奇才,88.80952381,721.2619048,57.16185989,66.65615907,0.721261905
余佳运,98.6,17289.04,84.75541758,88.90879231,17.28904
加木,99,3384.18,70.58906909,79.11234836,3.38418
华晨宇,100,126862.7,100,100,100
周传雄,97.7,10631.8,80.53213597,85.68249518,10.6318
周深,100,46308.28,93.31317301,95.31922111,46.30828
张学友,100,21622.20588,86.69799997,90.68859998,21.62220588
张杰,100,23935.66,87.58090814,91.3066357,23.93566
徐良,96.1,11911.28,81.51916868,85.89341807,11.91128
摩登兄弟刘宇宁,99.16666667,52608.26667,94.42107986,95.8447559,52.60826667
方大同,100,34163.56,90.6712624,93.46988368,34.16356
李荣浩,100,87130.19231,98.80337345,99.16236142,87.13019231
林俊杰,100,66632.44,96.47371434,97.53160004,66.63244
梁博,100,19384.21053,85.74896236,90.02427365,19.38421053
毛不易,100,89420.46,99.02873799,99.3201166,89.42046
汪苏泷,100,47275.14,93.49265647,95.44485953,47.27514
法老,100,19438.64,85.77331754,90.04132228,19.43864
王力宏,100,16843.62,84.5287087,89.17009609,16.84362
王赫野,100,7285.3,77.2489488,84.07426416,7.2853
罗言,96.9,14141.56,83.00994641,87.17696249,14.14156
胡彦斌,98.7,11045.12,80.86340877,86.21438614,11.04512
艾志恒Asen,100,8407.88,78.49373009,84.94561107,8.40788
蔡徐坤,97,28744.62,89.17113143,91.519792,28.74462
薛之谦,100,152694.62,100,100,100
许嵩,100,220325.3333,100,100,100
贝乐虎,100,616.88,55.8040138,69.06280966,0.61688
赵雷,100,53368.92,94.54576829,96.1820378,53.36892
郑润泽,100,81482.52,98.22128904,98.75490233,81.48252
郭顶,100,1317610.333,100,100,100
队长,97.1,47887.88,93.60451222,94.65315856,47.88788
陈奕迅,100,88074.4,98.89699387,99.22789571,88.0744
陈楚生,100,7795.16,77.83650068,84.48555047,7.79516
陶喆,100,19348.64,85.73300888,90.01310622,19.34864
颜人中,100,44731.94,93.01235467,95.10864827,44.73194
马思唯,100,11369.06,81.11449117,86.78014382,11.36906
黄子弘凡,98.7,30598.58,89.71402545,92.40981781,30.59858
